US_prime_rates, US_unemployment_rate, US_population, US_medianCPI, US_CIV
7.75, 3.6, 334071, 6.69366641779917959, 62.3, 265.061
7.75, 3.6, 334206, 5.91661658760608944, 62.1, 263.157
8.25, 3.5, 334326, 6.55462261476892838, 62.3, 257.897
8.50, 3.4, 334433, 7.40659988402694047, 62.4, 260.227
8.50, 3.6, 334544, 7.88049589496700165, 62.5, 258.669
8.75, 3.5, 334664, 4.62475076644841998, 62.6, 257.062
8.75, 3.4, 334792, 5.18616801348069156, 62.6, 256.908
8.75, 3.7, 334929, 4.83841780786020959, 62.6, 253.670
8.75, 3.6, 335080, 4.39642524892616038, 62.6, 253.860
9.00, 3.5, 335248, 2.49077584715135991, 62.6, 253.835
9.00, 3.8, 335431, 4.35897232415277003, 62.8, 257.680
9.00, 3.8, 335612, 5.21792092786128947, 62.8, 258.934
9.00, 3.8, 335773, 3.49795816925966019, 62.7, 255.192
9.00, 3.7, 335925, 5.12261495364029962, 62.8, 252.856
9.00, 3.7, 336070, 4.16012515068491151, 62.5, 249.866
9.00, 3.7, 336194, 6.54247711333595028, 62.5, 251.306
9.00, 3.9, 336306, 4.55815950379620993, 62.5, 254.926
9.00, 3.8, 336423, 4.32734565378700964, 62.7, 255.095
9.00, 3.9, 336550, 4.25132259006097968, 62.7, 256.978
9.00, 4.0, 336687, 3.01646901493071029, 62.5, 255.313
8.50, 4.1, 336839, 2.36466518194450970, 62.6, 255.914
8.50, 4.3, 337005, 3.80499824370928019, 62.7, 257.321
8.25, 4.2, 337185, 3.18039686786902021, 62.7, 255.430
8.50, 4.1, 337362, 4.14646127656875052, 62.7, 252.690
8.25, 4.1, 337521, 3.60736895679824965, 62.6, 253.162
