prime_rate_CA,unemployment_CA,consumer_price_index_CA,GDP_CA,industrial_price_index_CA
7.20,17729475,158.5,2230741,127.0
7.20,17716440,158.6,2234639,125.8
7.20,17654209,158.8,2238191,125.3
7.20,17703758,158.3,2234502,123.3
7.20,17746729,158.3,2242265,123.3
7.20,17763653,158.8,2249888,124.6
7.20,17794949,159.8,2248842,125.7
7.20,17810851,160.6,2257127,127.7
7.20,17845344,161.5,2259508,128.0
6.95,17816461,161.4,2260473,127.9
6.70,17849215,162.1,2262854,127.9
6.70,17877140,161.8,2264354,126.7
6.45,17849754,161.1,2269777,125.7
5.95,17835797,161.8,2276983,127.2
